Name,Code,Description
Enfermedades del sistema nervioso,G618,Otras polineuropatias inflamatorias
Enfermedades del sistema nervioso,G619,"Polineuropatia inflamatoria, no especificada"
Enfermedades del sistema nervioso,G620,Polineuropatia inducida por drogas
Enfermedades del sistema nervioso,G621,Polineuropatia alcoholica
Enfermedades del sistema nervioso,G622,Polineuropatia debida a otro agente toxico
Enfermedades del sistema nervioso,G628,Otras polineuropatias especificadas
Enfermedades del sistema nervioso,G629,"Polineuropatia, no especificada"
Enfermedades del sistema nervioso,G630,Polineuropatia en enfermedades infecciosas y parasitarias clasificadas en otra parte
Enfermedades del sistema nervioso,G631,Polineuropatia en enfermedad neoplasica
Enfermedades del sistema nervioso,G632,Polineuropatia diabetica
Enfermedades del sistema nervioso,G633,Polineuropatia en otras enfermedades endocrinas y metabolicas
Enfermedades del sistema nervioso,G634,Polineuropatia en deficiencia nutricional
Enfermedades del sistema nervioso,G635,Polineuropatia en trastornos del tejido conectivo sistemico
Enfermedades del sistema nervioso,G636,Polineuropatia en otros trastornos osteomusculares
Enfermedades del sistema nervioso,G638,Polineuropatia en otras enfermedades clasificadas en otra parte
Enfermedades del sistema nervioso,G64X,Otros trastornos del sistema nervioso periferico
Enfermedades del sistema nervioso,G700,Miastenia gravis
Enfermedades del sistema nervioso,G701,Trastornos toxicos neuromusculares
Enfermedades del sistema nervioso,G702,Miastenia congenita o del desarrollo
Enfermedades del sistema nervioso,G708,Otros trastornos neuromusculares especificados
Enfermedades del sistema nervioso,G709,"Trastorno neuromuscular, no especificado"
Enfermedades del sistema nervioso,G710,Distrofia muscular
Enfermedades del sistema nervioso,G711,Trastornos miotonicos
Enfermedades del sistema nervioso,G712,Miopatias congenitas
Enfermedades del sistema nervioso,G713,"Miopatia mitocondrica, no clasificada en otra parte"
Enfermedades del sistema nervioso,G718,Otros trastornos primarios de los musculos
Enfermedades del sistema nervioso,G719,"Trastorno primario del musculo, tipo no especificado"
Enfermedades del sistema nervioso,G720,Miopatia inducida por drogas
Enfermedades del sistema nervioso,G721,Miopatia alcoholica
Enfermedades del sistema nervioso,G722,Miopatia debida a otros agentes toxicos
Enfermedades del sistema nervioso,G723,Paralisis periodica
Enfermedades del sistema nervioso,G724,"Miopatia inflamatoria, no clasificada en otra parte"
Enfermedades del sistema nervioso,G728,Otras miopatias especificadas
Enfermedades del sistema nervioso,G729,"Miopatia, no especificada"
Enfermedades del sistema nervioso,G730,Sindromes miastenicos en enfermedades endocrinas
Enfermedades del sistema nervioso,G731,Sindrome de Eaton-Lambert (C00-D48†)
Enfermedades del sistema nervioso,G732,Otros sindromes miastenicos en enfermedad neoplasica
Enfermedades del sistema nervioso,G733,Sindromes miastenicos en otras enfermedades clasificadas en otra parte
Enfermedades del sistema nervioso,G734,Miopatia en enfermedades infecciosas y parasitarias clasificadas en otra parte
Enfermedades del sistema nervioso,G735,Miopatia en enfermedades endocrinas
Enfermedades del sistema nervioso,G736,Miopatia en enfermedades metabolicas
Enfermedades del sistema nervioso,G737,Miopatia en otras enfermedades clasificadas en otra parte
Enfermedades del sistema nervioso,G800,Paralisis cerebral espastica cuadriplejica
Enfermedades del sistema nervioso,G801,Paralisis cerebral espastica diplejica
Enfermedades del sistema nervioso,G802,Paralisis cerebral espastica hemiplejica
Enfermedades del sistema nervioso,G803,Paralisis cerebral discinetica
Enfermedades del sistema nervioso,G804,Paralisis cerebral ataxica
Enfermedades del sistema nervioso,G808,Otros tipos de paralisis cerebral
Enfermedades del sistema nervioso,G809,"Paralisis cerebral, sin otra especificacion"
Enfermedades del sistema nervioso,G810,Hemiplejia flacida
Enfermedades del sistema nervioso,G811,Hemiplejia espastica
Enfermedades del sistema nervioso,G819,"Hemiplejia, no especificada"
Enfermedades del sistema nervioso,G820,Paraplejia flacida
Enfermedades del sistema nervioso,G821,Paraplejia espastica
Enfermedades del sistema nervioso,G822,"Paraplejia, no especificada"
Enfermedades del sistema nervioso,G823,Cuadriplejia flacida
Enfermedades del sistema nervioso,G824,Cuadriplejia espastica
Enfermedades del sistema nervioso,G825,"Cuadriplejia, no especificada"
Enfermedades del sistema nervioso,G830,Diplejia de los miembros superiores
Enfermedades del sistema nervioso,G831,Monoplejia de miembro inferior
Enfermedades del sistema nervioso,G832,Monoplejia de miembro superior
Enfermedades del sistema nervioso,G833,"Monoplejia, no especificada"
Enfermedades del sistema nervioso,G834,Sindrome de la cola de caballo
Enfermedades del sistema nervioso,G835,Sindrome de enclaustramiento
Enfermedades del sistema nervioso,G838,Otros sindromes paraliticos especificados
Enfermedades del sistema nervioso,G839,"Sindrome paralitico, no especificado"
Enfermedades del sistema nervioso,G900,Neuropatia autonoma periferica idiopatica
Enfermedades del sistema nervioso,G901,Disautonomia familiar [Sindrome de Riley-Day]
Enfermedades del sistema nervioso,G902,Sindrome de Horner
Enfermedades del sistema nervioso,G904,Disreflexia autonomica
Enfermedades del sistema nervioso,G908,Otros Trastornos del sistema nervioso autonomo
Enfermedades del sistema nervioso,G909,"Trastorno del sistema nervioso autonomo, no especificado"
Enfermedades del sistema nervioso,G910,Hidrocefalo comunicante
Enfermedades del sistema nervioso,G911,Hidrocefalo obstructivo
Enfermedades del sistema nervioso,G912,Hidrocefalo de presion normal
Enfermedades del sistema nervioso,G913,"Hidrocefalo postraumatico, sin otra especificacion"
Enfermedades del sistema nervioso,G918,Otros tipos de hidrocefalo
Enfermedades del sistema nervioso,G919,"Hidrocefalo, no especificado"
Enfermedades del sistema nervioso,G92X,Encefalopatia toxica
Enfermedades del sistema nervioso,G930,Quiste cerebral
Enfermedades del sistema nervioso,G931,"Lesion cerebral anoxica, no clasificada en otra parte"
Enfermedades del sistema nervioso,G932,Hipertension intracraneal benigna
Enfermedades del sistema nervioso,G933,Sindrome de fatiga postviral
Enfermedades del sistema nervioso,G934,Encefalopatia no especificada
Enfermedades del sistema nervioso,G935,Compresion del encefalo
Enfermedades del sistema nervioso,G936,Edema cerebral
Enfermedades del sistema nervioso,G937,Sindrome de Reye
Enfermedades del sistema nervioso,G938,Otros Trastornos especificados del encefalo
Enfermedades del sistema nervioso,G939,"Trastorno del encefalo, no especificado"
Enfermedades del sistema nervioso,G940,Hidrocefalo en enfermedades infecciosas y parasitarias clasificadas en otra parte
Enfermedades del sistema nervioso,G941,Hidrocefalo en enfermedad neoplasica
Enfermedades del sistema nervioso,G942,Hidrocefalo en otras enfermedades clasificadas en otra parte
Enfermedades del sistema nervioso,G948,Otros trastornos encefalicos especificados en enfermedades clasificadas en otra parte
Enfermedades del sistema nervioso,G950,Siringomielia y siringobulbia
Enfermedades del sistema nervioso,G951,Mielopatias vasculares
Enfermedades del sistema nervioso,G952,"Compresion medular, no especificada"
Enfermedades del sistema nervioso,G958,Otras enfermedades especificadas de la medula espinal
Enfermedades del sistema nervioso,G959,"Enfermedad de la medula espinal, no especificada"
Enfermedades del sistema nervioso,G960,Perdida de liquido cefalorraquideo
Enfermedades del sistema nervioso,G961,"Trastornos de las meninges, no clasificados en otra parte"
Enfermedades del sistema nervioso,G968,Otros trastornos especificados del sistema nervioso central
Enfermedades del sistema nervioso,G969,"Trastorno del sistema nervioso central, no especificado"
Enfermedades del sistema nervioso,G970,Perdida de liquido cefalorraquideo por puncion espinal
Enfermedades del sistema nervioso,G971,Otra reaccion a la puncion espinal y lumbar
Enfermedades del sistema nervioso,G972,Hipotension intracraneal posterior a anastomosis ventricular
Enfermedades del sistema nervioso,G978,Otros trastornos del sistema nervioso consecutivos a procedimientos
Enfermedades del sistema nervioso,G979,"Trastornos no especificados del sistema nervioso, consecutivos a procedimientos"
Enfermedades del sistema nervioso,G98X,"Otros trastornos del sistema nervioso, no clasificados en otra parte"
Enfermedades del sistema nervioso,G990,Neuropatia autonomica en enfermedades metabolica y endocrinas
Enfermedades del sistema nervioso,G991,Otros trastornos del sistema nervioso autonomo en otras enfermedades clasificadas en otra parte
Enfermedades del sistema nervioso,G992,Mielopatia en enfermedades clasificadas en otra parte
Enfermedades del sistema nervioso,G998,Otros trastornos especificados del sistema nervioso en enfermedades clasificadas en otra parte
Enfermedades del ojo y sus anexos,H000,Orzuelo y otras inflamaciones profundas del parpado
Enfermedades del ojo y sus anexos,H001,Calacio [chalazion]
Enfermedades del ojo y sus anexos,H010,Blefaritis
Enfermedades del ojo y sus anexos,H011,Dermatosis no infecciosa del parpado
Enfermedades del ojo y sus anexos,H018,Otras inflamaciones especificadas del parpado
Enfermedades del ojo y sus anexos,H019,"Inflamacion del parpado, no especificada"
Enfermedades del ojo y sus anexos,H020,Entropion y triquiasis palpebral
Enfermedades del ojo y sus anexos,H021,Ectropion del parpado
Enfermedades del ojo y sus anexos,H022,Lagoftalmos
Enfermedades del ojo y sus anexos,H023,Blefarocalasia
Enfermedades del ojo y sus anexos,H024,Blefaroptosis
Enfermedades del ojo y sus anexos,H025,Otros trastornos funcionales del parpado
Enfermedades del ojo y sus anexos,H026,Xantelasma del parpado
Enfermedades del ojo y sus anexos,H027,Otros trastornos degenerativos del parpado y del area periocular
Enfermedades del ojo y sus anexos,H028,Otros trastornos especificados del parpado
Enfermedades del ojo y sus anexos,H029,"Trastorno del parpado, no especificado"
Enfermedades del ojo y sus anexos,H030,Infeccion o infestacion parasitaria del parpado en enfermedades clasificadas en otra parte
Enfermedades del ojo y sus anexos,H031,Compromiso del parpado en enfermedades infecciosas clasificadas en otra parte
Enfermedades del ojo y sus anexos,H038,Compromiso del parpado en enfermedades clasificadas en otra parte
Enfermedades del ojo y sus anexos,H040,Dacrioadenitis
Enfermedades del ojo y sus anexos,H041,Otros trastornos de la glandula lagrimal
Enfermedades del ojo y sus anexos,H042,Epifora
Enfermedades del ojo y sus anexos,H043,Inflamacion aguda y la no especificada de las vias lagrimales
Enfermedades del ojo y sus anexos,H044,Inflamacion cronica de las vias lagrimales
Enfermedades del ojo y sus anexos,H045,Estenosis e insuficiencia de las vias lagrimales
Enfermedades del ojo y sus anexos,H046,Otros cambios de las vias lagrimales
Enfermedades del ojo y sus anexos,H048,Otros trastornos especificados del aparato lagrimal
Enfermedades del ojo y sus anexos,H049,"Trastorno del aparato lagrimal, no especificado"
Enfermedades del ojo y sus anexos,H050,Inflamacion aguda de la orbita
Enfermedades del ojo y sus anexos,H051,Trastornos inflamatorios cronicos de la orbita
Enfermedades del ojo y sus anexos,H052,Afecciones exoftalmicas
Enfermedades del ojo y sus anexos,H053,Deformidad de la orbita
Enfermedades del ojo y sus anexos,H054,Enoftalmia
Enfermedades del ojo y sus anexos,H055,"Retencion de cuerpo extrano (antiguo), consecutiva a herida penetrante de la orbita"
Enfermedades del ojo y sus anexos,H058,Otros trastornos de la orbita
Enfermedades del ojo y sus anexos,H059,"Trastorno de la orbita, no especificado"
Enfermedades del ojo y sus anexos,H060,Trastornos del aparato lagrimal en enfermedades clasificadas en otra parte
Enfermedades del ojo y sus anexos,H061,Infeccion e infestacion parasitarias de la orbita en enfermedades clasificadas en otra parte
Enfermedades del ojo y sus anexos,H062,Exoftalmia hipertiroidea
Enfermedades del ojo y sus anexos,H063,Otros trastornos de la orbita en enfermedades clasificadas en otra parte
Enfermedades del ojo y sus anexos,H100,Conjuntivitis mucopurulenta
Enfermedades del ojo y sus anexos,H101,Conjuntivitis atopica aguda
Enfermedades del ojo y sus anexos,H102,Otras conjuntivitis agudas
Enfermedades del ojo y sus anexos,H103,"Conjuntivitis aguda, no especificada"
Enfermedades del ojo y sus anexos,H104,Conjuntivitis cronica
Enfermedades del ojo y sus anexos,H105,Blefaroconjuntivitis
Enfermedades del ojo y sus anexos,H108,Otras conjuntivitis
Enfermedades del ojo y sus anexos,H109,"Conjuntivitis, no especificada"
Enfermedades del ojo y sus anexos,H110,Pterigion
Enfermedades del ojo y sus anexos,H111,Degeneraciones y depositos conjuntivales
Enfermedades del ojo y sus anexos,H112,Cicatrices conjuntivales
Enfermedades del ojo y sus anexos,H113,Hemorragia conjuntival
Enfermedades del ojo y sus anexos,H114,Otros trastornos vasculares y quistes conjuntivales
Enfermedades del ojo y sus anexos,H118,Otros trastornos especificados de la conjuntiva
Enfermedades del ojo y sus anexos,H119,"Trastorno de la conjuntiva, no especificado"
Enfermedades del ojo y sus anexos,H130,Infeccion filarica de la conjuntiva
Enfermedades del ojo y sus anexos,H131,Conjuntivitis en enfermedades infecciosas y parasitarias clasificadas en otra parte
Enfermedades del ojo y sus anexos,H132,Conjuntivitis en otras enfermedades clasificadas en otra parte
Enfermedades del ojo y sus anexos,H133,Penfigoide ocular
Enfermedades del ojo y sus anexos,H138,Otros trastornos de la conjuntiva en enfermedades clasificadas en otra parte
Enfermedades del ojo y sus anexos,H150,Escleritis
Enfermedades del ojo y sus anexos,H151,Episcleritis
Enfermedades del ojo y sus anexos,H158,Otros trastornos de la esclerotica
Enfermedades del ojo y sus anexos,H159,"Trastorno de la esclerotica, no especificado"
Enfermedades del ojo y sus anexos,H160,ulcera de la cornea
Enfermedades del ojo y sus anexos,H161,Otras queratitis superficiales sin conjuntivitis
Enfermedades del ojo y sus anexos,H162,Queratoconjuntivitis
Enfermedades del ojo y sus anexos,H163,Queratitis intersticial y profunda
Enfermedades del ojo y sus anexos,H164,Neovascularizacion de la cornea
Enfermedades del ojo y sus anexos,H168,Otras queratitis
Enfermedades del ojo y sus anexos,H169,"Queratitis,no especificada"
Enfermedades del ojo y sus anexos,H170,Leucoma adherente
Enfermedades del ojo y sus anexos,H171,Otras opacidades centrales de la cornea
Enfermedades del ojo y sus anexos,H178,Otras opacidades o cicatrices de la cornea
Enfermedades del ojo y sus anexos,H179,"Cicatriz u opacidad de la cornea, no especificada"
Enfermedades del ojo y sus anexos,H180,Pigmentaciones y depositos en la cornea
Enfermedades del ojo y sus anexos,H181,Queratopatia vesicular
Enfermedades del ojo y sus anexos,H182,Otros edemas de la cornea
Enfermedades del ojo y sus anexos,H183,Cambios en las membranas de la cornea
Enfermedades del ojo y sus anexos,H184,Degeneracion de la cornea
Enfermedades del ojo y sus anexos,H185,Distrofia hereditaria de la cornea
Enfermedades del ojo y sus anexos,H186,Queratocono
Enfermedades del ojo y sus anexos,H187,Otras deformidades de la cornea
Enfermedades del ojo y sus anexos,H188,Otros trastornos especificados de la cornea
Enfermedades del ojo y sus anexos,H189,"Trastorno de la cornea, no especificado"
Enfermedades del ojo y sus anexos,H190,Escleritis y episcleritis en enfermedades clasificadas en otra parte
Enfermedades del ojo y sus anexos,H191,Queratitis y queratoconjuntivitis por herpes simple
Enfermedades del ojo y sus anexos,H192,"Queratitis y queratoconjuntivitis en enfermedades infecciosas y parasitarias, clasificadas en otra parte"
Enfermedades del ojo y sus anexos,H193,Queratitis y queratoconjuntivitis en otras enfermedades clasificadas en otra parte
Enfermedades del ojo y sus anexos,H198,Otros trastornos de la esclerotica y de la cornea en enfermedades clasificadas en otra parte
Enfermedades del ojo y sus anexos,H200,Iridociclitis aguda y subaguda
Enfermedades del ojo y sus anexos,H201,Iridociclitis cronica
Enfermedades del ojo y sus anexos,H202,Iridociclitis inducida por trastorno del cristalino
Enfermedades del ojo y sus anexos,H208,Otras iridociclitis especificadas
Enfermedades del ojo y sus anexos,H209,"Iridociclitis, no especificada"
Enfermedades del ojo y sus anexos,H210,Hifema
Enfermedades del ojo y sus anexos,H211,Otros trastornos vasculares del iris y del cuerpo ciliar
Enfermedades del ojo y sus anexos,H212,Degeneracion del iris y del cuerpo ciliar
Enfermedades del ojo y sus anexos,H213,"Quiste del iris, del cuerpo ciliar y de la camara anterior"
Enfermedades del ojo y sus anexos,H214,Membranas pupilares
Enfermedades del ojo y sus anexos,H215,Otras adherencias y desgarros del iris y del cuerpo ciliar
Enfermedades del ojo y sus anexos,H218,Otros trastornos especificados del iris y del cuerpo ciliar
Enfermedades del ojo y sus anexos,H219,"Trastorno del iris y del cuerpo ciliar, no especificado"
Enfermedades del ojo y sus anexos,H220,Iridociclitis en enfermedades infecciosas y parasitarias clasificadas en otra parte
Enfermedades del ojo y sus anexos,H221,Iridociclitis en otras enfermedades clasificadas en otra parte
Enfermedades del ojo y sus anexos,H228,Otros trastornos del iris y del cuerpo ciliar en enfermedades clasificadas en otra parte
Enfermedades del ojo y sus anexos,H250,Catarata senil incipiente
Enfermedades del ojo y sus anexos,H251,Catarata senil nuclear
Enfermedades del ojo y sus anexos,H252,"Catarata senil, tipo morgagnian"
Enfermedades del ojo y sus anexos,H258,Otras cataratas seniles
Enfermedades del ojo y sus anexos,H259,"Catarata senil, no especificada"
Enfermedades del ojo y sus anexos,H260,"Catarata infantil, juvenil y presenil"
Enfermedades del ojo y sus anexos,H261,Catarata traumatica
Enfermedades del ojo y sus anexos,H262,Catarata complicada
Enfermedades del ojo y sus anexos,H263,Catarata inducida por drogas
Enfermedades del ojo y sus anexos,H264,Catarata residual
Enfermedades del ojo y sus anexos,H268,Otras formas especificadas de catarata
Enfermedades del ojo y sus anexos,H269,"Catarata, no especificada"
Enfermedades del ojo y sus anexos,H270,Afaquia
Enfermedades del ojo y sus anexos,H271,Luxacion del cristalino
Enfermedades del ojo y sus anexos,H278,Otros trastornos especificados del cristalino
Enfermedades del ojo y sus anexos,H279,"Trastorno del cristalino, no especificado"
Enfermedades del ojo y sus anexos,H280,Catarata diabetica
Enfermedades del ojo y sus anexos,H281,"Catarata en otras enfermedades endocrinas, nutricionales y metabolicas clasificadas en otra parte"
Enfermedades del ojo y sus anexos,H282,Catarata en otras enfermedades clasificadas en otra parte
Enfermedades del ojo y sus anexos,H288,Otros trastornos del cristalino en enfermedades clasificadas en otra parte
Enfermedades del ojo y sus anexos,H300,Coriorretinitis focal
Enfermedades del ojo y sus anexos,H301,Coriorretinitis diseminada
Enfermedades del ojo y sus anexos,H302,Ciclitis posterior
Enfermedades del ojo y sus anexos,H308,Otras coriorretinitis
Enfermedades del ojo y sus anexos,H309,"Coriorretinitis, no especificada"
Enfermedades del ojo y sus anexos,H310,Cicatrices coriorretinianas
Enfermedades del ojo y sus anexos,H311,Degeneracion coroidea
Enfermedades del ojo y sus anexos,H312,Distrofia coroidea hereditaria
Enfermedades del ojo y sus anexos,H313,Hemorragia y ruptura de la coroides
Enfermedades del ojo y sus anexos,H314,Desprendimiento de la coroides
Enfermedades del ojo y sus anexos,H318,Otros trastornos especificados de la coroides
Enfermedades del ojo y sus anexos,H319,"Trastorno de la coroides, no especificado"
Enfermedades del ojo y sus anexos,H320,Inflamacion coriorretiniana en enfermedades infecciosas y parasitarias clasificadas en otra parte
Enfermedades del ojo y sus anexos,H328,Otros trastornos coriorretinianos en enfermedades clasificadas en otra parte
Enfermedades del ojo y sus anexos,H330,Desprendimiento de la retina con ruptura
Enfermedades del ojo y sus anexos,H331,Retinosquisis y quistes de la retina
Enfermedades del ojo y sus anexos,H332,Desprendimiento seroso de la retina
Enfermedades del ojo y sus anexos,H333,Desgarro de la retina sin desprendimiento
Enfermedades del ojo y sus anexos,H334,Desprendimiento de la retina por traccion
Enfermedades del ojo y sus anexos,H335,Otros desprendimientos de la retina
Enfermedades del ojo y sus anexos,H340,Oclusion arterial transitoria de la retina
Enfermedades del ojo y sus anexos,H341,Oclusion de la arteria central de la retina
Enfermedades del ojo y sus anexos,H342,Otras formas de oclusion de la arteria de la retina
Enfermedades del ojo y sus anexos,H348,Otras oclusiones vasculares retinianas
Enfermedades del ojo y sus anexos,H349,"Oclusion vascular retiniana, sin otra especificacion"
Enfermedades del ojo y sus anexos,H350,Retinopatias del fondo y cambios vasculares retinianos
Enfermedades del ojo y sus anexos,H351,Retinopatia de la prematuridad
Enfermedades del ojo y sus anexos,H352,Otras retinopatias proliferativas
Enfermedades del ojo y sus anexos,H353,Degeneracion de la macula y del polo posterior del ojo
Enfermedades del ojo y sus anexos,H354,Degeneracion periferica de la retina
Enfermedades del ojo y sus anexos,H355,Distrofia hereditaria de la retina
Enfermedades del ojo y sus anexos,H356,Hemorragia retiniana
Enfermedades del ojo y sus anexos,H357,Separacion de las capas de la retina
Enfermedades del ojo y sus anexos,H358,Otros trastornos especificados de la retina
Enfermedades del ojo y sus anexos,H359,"Trastorno de la retina, no especificado"
Enfermedades del ojo y sus anexos,H360,Retinopatia diabetica
Enfermedades del ojo y sus anexos,H368,Otros trastornos de la retina en enfermedades clasificadas en otra parte
Enfermedades del ojo y sus anexos,H400,Sospecha de glaucoma
Enfermedades del ojo y sus anexos,H401,Glaucoma primario de angulo abierto
Enfermedades del ojo y sus anexos,H402,Glaucoma primario de angulo cerrado
Enfermedades del ojo y sus anexos,H403,Glaucoma secundario a traumatismo ocular
Enfermedades del ojo y sus anexos,H404,Glaucoma secundario a inflamacion ocular
Enfermedades del ojo y sus anexos,H405,Glaucoma secundario a otros trastornos del ojo
Enfermedades del ojo y sus anexos,H406,Glaucoma secundario a drogas
Enfermedades del ojo y sus anexos,H408,Otros glaucomas
Enfermedades del ojo y sus anexos,H409,"Glaucoma, no especificado"
Enfermedades del ojo y sus anexos,H420,"Glaucoma en enfermedades endocrinas, nutricionales y metabolicas clasificadas en otra parte"
Enfermedades del ojo y sus anexos,H428,Glaucoma en otras enfermedades clasificadas en otra parte
Enfermedades del ojo y sus anexos,H430,Prolapso del vitreo
Enfermedades del ojo y sus anexos,H431,Hemorragia del vitreo
Enfermedades del ojo y sus anexos,H432,Depositos cristalinos en el cuerpo vitreo
Enfermedades del ojo y sus anexos,H433,Otras opacidades vitreas
Enfermedades del ojo y sus anexos,H438,Otros trastornos del cuerpo vitreo
Enfermedades del ojo y sus anexos,H439,"Trastorno del cuerpo vitreo, no especificado"
Enfermedades del ojo y sus anexos,H440,Endoftalmitis purulenta
Enfermedades del ojo y sus anexos,H441,Otras endoftalmitis
Enfermedades del ojo y sus anexos,H442,Miopia degenerativa
Enfermedades del ojo y sus anexos,H443,Otros trastornos degenerativos del globo ocular
Enfermedades del ojo y sus anexos,H444,Hipotonia ocular
Enfermedades del ojo y sus anexos,H445,Afecciones degenerativas del globo ocular
Enfermedades del ojo y sus anexos,H446,Retencion intraocular de cuerpo extrano magnetico (antiguo)
Enfermedades del ojo y sus anexos,H447,Retencion intraocular de cuerpo extrano no magnetico (antiguo)
Enfermedades del ojo y sus anexos,H448,Otros trastornos del globo ocular
Enfermedades del ojo y sus anexos,H449,"Trastorno del globo ocular, no especificado"
Enfermedades del ojo y sus anexos,H450,Hemorragia del vitreo en enfermedades clasificadas en otra parte
Enfermedades del ojo y sus anexos,H451,Endoftalmitis en enfermedades clasificadas en otra parte
Enfermedades del ojo y sus anexos,H458,Otros trastornos del cuerpo vitreo y del globo ocular en enfermedades clasificadas en otra parte
Enfermedades del ojo y sus anexos,H46X,Neuritis optica
Enfermedades del ojo y sus anexos,H470,"Trastornos del nervio optico, no clasificados en otra parte"
Enfermedades del ojo y sus anexos,H471,"Papiledema, no especificado"
Enfermedades del ojo y sus anexos,H472,Atrofia optica
Enfermedades del ojo y sus anexos,H473,Otros trastornos del disco optico
Enfermedades del ojo y sus anexos,H474,Trastornos del quiasma optico
Enfermedades del ojo y sus anexos,H475,Trastornos de otras vias opticas
Enfermedades del ojo y sus anexos,H476,Trastornos de la corteza visual
Enfermedades del ojo y sus anexos,H477,"Trastorno de las vias opticas, no especificado"
Enfermedades del ojo y sus anexos,H480,Atrofia optica en enfermedades clasificadas en otra parte
Enfermedades del ojo y sus anexos,H481,Neuritis retrobulbar en enfermedades clasificadas en otra parte
Enfermedades del ojo y sus anexos,H488,Otros trastornos del nervio optico y de las vias opticas en enfermedades clasificadas en otra parte
Enfermedades del ojo y sus anexos,H490,Paralisis del nervio motor ocular comun [III par]
Enfermedades del ojo y sus anexos,H491,Paralisis del nervio patetico [IV par]
Enfermedades del ojo y sus anexos,H492,Paralisis del nervio motor ocular externo [VI par]
Enfermedades del ojo y sus anexos,H493,Oftalmoplejia total (externa)
Enfermedades del ojo y sus anexos,H494,Oftalmoplejia externa progresiva
Enfermedades del ojo y sus anexos,H498,Otros estrabismos paraliticos
Enfermedades del ojo y sus anexos,H499,"Estrabismo paralitico, no especificado"
Enfermedades del ojo y sus anexos,H500,Estrabismo concomitante convergente
Enfermedades del ojo y sus anexos,H501,Estrabismo concomitante divergente
Enfermedades del ojo y sus anexos,H502,Estrabismo vertical
Enfermedades del ojo y sus anexos,H503,Heterotropia intermitente
Enfermedades del ojo y sus anexos,H504,Otras heterotropias o las no especificadas
Enfermedades del ojo y sus anexos,H505,Heteroforia
Enfermedades del ojo y sus anexos,H506,Estrabismo mecanico
Enfermedades del ojo y sus anexos,H508,Otros estrabismos especificados
Enfermedades del ojo y sus anexos,H509,"Estrabismo, no especificado"
Enfermedades del ojo y sus anexos,H510,Paralisis de la conjugacion de la mirada
Enfermedades del ojo y sus anexos,H511,Exceso e insuficiencia de la convergencia ocular
Enfermedades del ojo y sus anexos,H512,Oftalmoplejia internuclear
Enfermedades del ojo y sus anexos,H518,Otros trastornos especificados de los movimientos binoculares
Enfermedades del ojo y sus anexos,H519,"Trastorno del movimiento binocular, no especificado"
Enfermedades del ojo y sus anexos,H520,Hipermetropia
Enfermedades del ojo y sus anexos,H521,Miopia
Enfermedades del ojo y sus anexos,H522,Astigmatismo
Enfermedades del ojo y sus anexos,H523,Anisometropia y aniseiconia
Enfermedades del ojo y sus anexos,H524,Presbicia
Enfermedades del ojo y sus anexos,H525,Trastornos de la acomodacion
Enfermedades del ojo y sus anexos,H526,Otros trastornos de la refraccion
Enfermedades del ojo y sus anexos,H527,"Trastorno de la refraccion, no especificado"
Enfermedades del ojo y sus anexos,H530,Ambliopia ex anopsia
Enfermedades del ojo y sus anexos,H531,Alteraciones visuales subjetivas
Enfermedades del ojo y sus anexos,H532,Diplopia
Enfermedades del ojo y sus anexos,H533,Otros trastornos de la vision binocular
Enfermedades del ojo y sus anexos,H534,Defectos del campo visual
Enfermedades del ojo y sus anexos,H535,Deficiencia de la vision cromatica
Enfermedades del ojo y sus anexos,H536,Ceguera nocturna
Enfermedades del ojo y sus anexos,H538,Otras alteraciones visuales
Enfermedades del ojo y sus anexos,H539,"Alteracion visual, no especificada"
Enfermedades del ojo y sus anexos,H540,Ceguera binocular
Enfermedades del ojo y sus anexos,H541,"Deficiencia visual severa, binocular"
Enfermedades del ojo y sus anexos,H542,"Deficiencia visual moderada, binocular"
Enfermedades del ojo y sus anexos,H543,"Deficiencia visual leve o ausente, binocular"
Enfermedades del ojo y sus anexos,H544,Ceguera monocular
Enfermedades del ojo y sus anexos,H545,"Deficiencia visual severa, monocular"
Enfermedades del ojo y sus anexos,H546,"Deficiencia visual moderada, monocular"
Enfermedades del ojo y sus anexos,H549,Deficiencia visual no especificada (binocular)
Enfermedades del ojo y sus anexos,H55X,Nistagmo y otros movimientos oculares irregulares
Enfermedades del ojo y sus anexos,H570,Anomalias de la funcion pupilar
Enfermedades del ojo y sus anexos,H571,Dolor ocular
Enfermedades del ojo y sus anexos,H578,Otros trastornos especificados del ojo y sus anexos
Enfermedades del ojo y sus anexos,H579,"Trastorno del ojo y sus anexos, no especificado"
Enfermedades del ojo y sus anexos,H580,Anomalias de la funcion pupilar en enfermedades clasificadas en otra parte
Enfermedades del ojo y sus anexos,H581,Alteraciones de la vision en enfermedades clasificadas en otra parte
Enfermedades del ojo y sus anexos,H588,Otros trastornos especificados del ojo en enfermedades clasificadas en otra parte
Enfermedades del ojo y sus anexos,H590,Queratopatia (bullosa afaquica) consecutiva a cirugia de catarata
Enfermedades del ojo y sus anexos,H598,"Otros trastornos del ojo y sus anexos, consecutivos a procedimientos"
Enfermedades del ojo y sus anexos,H599,"Trastorno no especificado del ojo y sus anexos, consecutivo a procedimientos"
Enfermedades del oido y de la apofisis mastoides,H600,Absceso del oido externo
Enfermedades del oido y de la apofisis mastoides,H601,Celulitis del oido externo
Enfermedades del oido y de la apofisis mastoides,H602,Otitis externa maligna
